Time,Arb
'0:0:58.55,1031
'0:0:58.6,1019
'0:0:58.65,1005
'0:0:58.7,988
'0:0:58.75,967
'0:0:58.8,935
'0:0:58.85,910
'0:0:58.9,891
'0:0:58.95,881
'0:0:59.0,874
'0:0:59.05,869
'0:0:59.1,862
'0:0:59.15,854
'0:0:59.2,844
'0:0:59.25,833
'0:0:59.3,823
'0:0:59.35,815
'0:0:59.4,805
'0:0:59.45,797
'0:0:59.5,789
'0:0:59.55,782
'0:0:59.6,773
'0:0:59.65,766
'0:0:59.7,760
'0:0:59.75,753
'0:0:59.8,743
'0:0:59.85,728
'0:0:59.9,710
'0:0:59.95,700
'0:0:60.0,692
'0:1:0.05,689
'0:1:0.1,688
'0:1:0.15,686
'0:1:0.2,682
'0:1:0.25,678
'0:1:0.3,675
'0:1:0.35,673
'0:1:0.4,671
'0:1:0.45,670
'0:1:0.5,667
'0:1:0.55,665
'0:1:0.6,664
'0:1:0.65,664
'0:1:0.7,663
'0:1:0.75,663
'0:1:0.8,663
'0:1:0.85,666
'0:1:0.9,673
'0:1:0.95,678
'0:1:1.0,684
'0:1:1.05,696
'0:1:1.1,715
'0:1:1.15,736
'0:1:1.2,760
'0:1:1.25,779
'0:1:1.3,800
'0:1:1.35,818
'0:1:1.4,837
'0:1:1.45,854
'0:1:1.5,871
'0:1:1.55,886
'0:1:1.6,903
'0:1:1.65,919
'0:1:1.7,933
'0:1:1.75,944
'0:1:1.8,954
'0:1:1.85,965
'0:1:1.9,975
'0:1:1.95,985
'0:1:2.0,993
'0:1:2.05,993
'0:1:2.1,988
'0:1:2.15,989
